Name,Fight Name,Age,Weight,Record,Reach,Leg Reach
Allen Crowder,Pretty Boy,28,245 lb ( 111 kg ),"9-3-0, 1NC","76""",N/A
Dominick Cruz,The Dominator,33,135 lb ( 61 kg ),22-2-0,"68""","37"""
Zak Cummings,N/A,33,170 lb ( 77 kg ),21-5-0,"75""","40"""
Patrick Cummins,Durkin,37,205 lb ( 93 kg ),10-4-0,"76""","43"""
Ion Cutelaba,The Hulk,24,205 lb ( 93 kg ),"13-3-0, 1NC","75""","41"""
Cris Cyborg,N/A,32,145 lb ( 65 kg ),"20-1-0, 1NC","68""","39"""
Henrique da Silva,Frankenstein,28,205 lb ( 93 kg ),12-4-0,"76""","43"""
Cindy Dandois,Battle Cat,33,135 lb ( 61 kg ),8-3-0,N/A,N/A
Jarjis Danho,Man Mountain,34,265 lb ( 120 kg ),"6-1-1, 1NC","74""","42"""
Beneil Dariush,N/A,28,155 lb ( 70 kg ),14-4-1,"72""","40"""
Alexis Davis,N/A,33,125 lb ( 56 kg ),19-7-0,"68""","37"""
Brandon  Davis,Killer B,27,145 lb ( 65 kg ),9-3-0,"72""","39"""
Hakeem Dawodu,Mean,26,145 lb ( 65 kg ),7-0-1,"73""","40"""
Grant Dawson,KGD,24,145 lb ( 65 kg ),12-1-0,N/A,N/A
Martin Day,The Spartan,29,125 lb ( 56 kg ),5-2-0,"71""",N/A
Angel De Anda,N/A,32,205 lb ( 93 kg ),18-6-0,N/A,N/A
Chris De La Rocha,N/A,38,265 lb ( 120 kg ),4-2-0,"80""","42"""
Mark De La Rosa,Bumblebee,23,135 lb ( 61 kg ),9-1-0,"65""",N/A
Montana De La Rosa,N/A,23,125 lb ( 56 kg ),8-4-0,"70""",N/A
Marcos Rogerio De Lima,Pezao,32,205 lb ( 93 kg ),15-6-1,"75""","43"""
Germaine de Randamie,The Iron Lady,33,135 lb ( 61 kg ),7-3-0,"71""","41"""
Mackenzie Dern,N/A,25,115 lb ( 52 kg ),6-0-0,"63""","37"""
Alessio Di Chirico,Manzo,28,185 lb ( 84 kg ),11-1-0,"74""","45"""
Marc Diakiese,Bonecrusher,25,155 lb ( 70 kg ),12-2-0,"73""","39"""
Hacran Dias,N/A,33,155 lb ( 70 kg ),23-6-1,"69""","40"""
Adrian Diaz,N/A,29,145 lb ( 65 kg ),11-5-1,N/A,N/A
Nate Diaz,N/A,32,170 lb ( 77 kg ),20-11-0,"76""","38"""
Nick Diaz,N/A,34,185 lb ( 84 kg ),"26-10-0, 1NC","76""",N/A
TJ Dillashaw,N/A,32,135 lb ( 61 kg ),16-3-0,"67""","38"""
Russell Doane,N/A,31,135 lb ( 61 kg ),15-8-0,"70""","37"""
Drew Dober,N/A,29,170 lb ( 77 kg ),"19-8-0, 1NC","70""","35"""
Shana Dobson,Danger,29,125 lb ( 56 kg ),3-3-0,"69""","38"""
John Dodson,The Magician,33,135 lb ( 61 kg ),21-9-0,"66""","35"""
CB Dollaway,The Doberman,34,185 lb ( 84 kg ),18-9-0,"76""","42"""
Rafael Dos Anjos,N/A,33,170 lb ( 77 kg ),28-9-0,"70""","38"""
Junior Dos Santos,Cigano,34,238 lb ( 108 kg ),18-5-0,"77""","41"""
Todd Duffee,N/A,32,260 lb ( 118 kg ),9-3-0,"79""",N/A
Joe Duffy,Irish,30,155 lb ( 70 kg ),16-3-0,"73""","41"""
Evan Dunham,N/A,36,155 lb ( 70 kg ),18-7-1,"70""","38"""
Tom Duquesnoy,Fire Kid,24,135 lb ( 61 kg ),"15-2-0, 1NC","68""","37"""
Merab Dvalishvili,N/A,27,135 lb ( 61 kg ),7-3-0,N/A,N/A
Rolando Dy,Dy Incredible ,26,145 lb ( 65 kg ),"9-6-1, 1NC","69""","36"""
Frankie Edgar,The Answer,36,145 lb ( 65 kg ),21-6-1,"68""","37"""
Abdul-Kerim Edilov,N/A,26,205 lb ( 93 kg ),16-4-0,"78""","42"""
Johnny Eduardo,N/A,39,135 lb ( 61 kg ),28-11-0,"71""","38"""
Leon Edwards,Rocky,26,170 lb ( 77 kg ),14-3-0,"74""","43"""
Darren Elkins,The Damage,33,145 lb ( 65 kg ),24-5-0,"71""","39"""
Jake Ellenberger,The Juggernaut,33,170 lb ( 77 kg ),31-13-0,"71""","39"""
Joe Ellenberger,Excalibur,33,155 lb ( 70 kg ),15-2-0,"72""",N/A
Tim Elliott,N/A,31,125 lb ( 56 kg ),16-8-1,"66""","38"""
Ramazan Emeev,Gorets,30,185 lb ( 84 kg ),16-3-0,"76""","42"""
Josh Emmett,N/A,33,145 lb ( 65 kg ),13-2-0,"70""","39"""
Oliver Enkamp,The Future,26,170 lb ( 77 kg ),7-1-0,"77""","44"""
Carla Esparza,Cookie Monster,30,115 lb ( 52 kg ),14-4-0,"63""","35"""
Jordan Espinosa,N/A,28,125 lb ( 56 kg ),"11-5-0, 1NC","71""",N/A
Jodie Esquibel,N/A,31,115 lb ( 52 kg ),6-3-0,"64""","37"""
Sijara Eubanks,SarJ,32,125 lb ( 56 kg ),3-2-0,N/A,N/A
Rashad Evans,Suga,38,185 lb ( 84 kg ),24-7-1,"75""","42"""
Ashlee Evans-Smith,Rebel Girl,30,125 lb ( 56 kg ),6-3-0,"67""","39"""
Tonya Evinger,Triple Threat,36,135 lb ( 61 kg ),"19-6-0, 1NC","70""",N/A
Jessica Eye,Evil,31,125 lb ( 56 kg ),"12-6-0, 1NC","66""","38"""
Melinda Fábián,N/A,30,125 lb ( 56 kg ),4-3-2,"63""",N/A
Kalindra Faria,N/A,31,125 lb ( 56 kg ),18-7-1,N/A,N/A
Paul Felder,The Irish Dragon,33,155 lb ( 70 kg ),15-3-0,"70""","40"""
Carlos Felipe,N/A,23,245 lb ( 111 kg ),8-0-0,N/A,N/A
Tony Ferguson,El Cucuy,34,155 lb ( 70 kg ),25-3-0,"76""","40"""
Cezar Ferreira,Mutante,33,185 lb ( 84 kg ),13-6-0,"78""","43"""
Diego Ferreira,N/A,33,155 lb ( 70 kg ),13-2-0,"74""","40"""
Deiveson Figueiredo,Deus da Guerra,30,125 lb ( 56 kg ),14-0-0,"68""","38"""
Andre Fili,Touchy,27,145 lb ( 65 kg ),18-5-0,"74""","40"""
Luke Flores,N/A,30,155 lb ( 70 kg ),7-1-0,N/A,N/A
Rob Font,N/A,30,135 lb ( 61 kg ),15-3-0,"71""","38"""
Jussier Formiga,N/A,33,125 lb ( 56 kg ),21-5-0,"67""","37"""
Marcel Fortuna,Maozinha,32,205 lb ( 93 kg ),9-3-0,"74""","42"""
Donavon Frelow,N/A,N/A,135 lb ( 61 kg ),6-3-0,N/A,N/A
Matt Frevola,The SteamRolla,27,155 lb ( 70 kg ),6-0-0,"71""","40"""
Claudia Gadelha,Claudinha,29,115 lb ( 52 kg ),15-3-0,"63""","32"""
Justin Gaethje,The Highlight,29,155 lb ( 70 kg ),18-1-0,N/A,N/A
Mitch Gagnon,N/A,33,135 lb ( 61 kg ),12-4-0,"65""","36"""
Mickey Gall,N/A,26,170 lb ( 77 kg ),4-1-0,"74""","41"""
Tom Gallicchio,Da Tank,31,170 lb ( 77 kg ),19-11-0,"73""","40"""
Cody Garbrandt,No Love,26,135 lb ( 61 kg ),11-1-0,"65""","38"""
Alex Garcia,The Dominican Nightmare,30,170 lb ( 77 kg ),15-4-0,"72""","39"""
Kelvin Gastelum,N/A,26,185 lb ( 84 kg ),"15-3-0, 1NC","71""","39"""
Trevin Giles,N/A,25,185 lb ( 84 kg ),11-0-0,"74""","41"""
Gregor Gillespie,The Gift,31,155 lb ( 70 kg ),11-0-0,"71""","37"""
Rick Glenn,The Gladiator,29,145 lb ( 65 kg ),20-5-1,"70""","40"""
Mark Godbeer,The Hand Of,34,240 lb ( 109 kg ),13-3-0,"77""","44"""
Marcelo Golm,N/A,25,249 lb ( 113 kg ),6-1-0,"75""","42"""
Luis Gomez,Tiger Junior ,23,145 lb ( 65 kg ),4-1-0,"68""","38"""
Takanori Gomi,The Fireball Kid,39,155 lb ( 70 kg ),"35-14-0, 1NC","70""","40"""
Jason Gonzalez,Nicoya,28,155 lb ( 70 kg ),11-4-0,"74""","43"""
Pearl Gonzalez,N/A,31,115 lb ( 52 kg ),6-2-0,N/A,N/A
Lyman Good,Cyborg,32,170 lb ( 77 kg ),"19-4-0, 1NC","74""","41"""
Jared Gordon,Flash,29,155 lb ( 70 kg ),14-2-0,"68""","38"""
Thibault Gouti,GT,31,155 lb ( 70 kg ),12-4-0,"72""","41"""
Damian Grabowski,The Polish Pitbull,37,241 lb ( 109 kg ),20-5-0,"75""","41"""
Davey Grant,Dangerous,32,135 lb ( 61 kg ),10-3-0,"69""","40"""
Alexa Grasso,N/A,24,115 lb ( 52 kg ),10-1-0,"66""","37"""
Shelton  Graves,“The Gravedigger” ,32,265 lb ( 120 kg ),7-3-0,"76""","40"""
James Gray,The Phenom,30,135 lb ( 61 kg ),4-2-0,N/A,N/A
Kevin  Gray ,Pocket Herc ,32,125 lb ( 56 kg ),9-4-0,"67""",N/A
Bobby Green,King,31,155 lb ( 70 kg ),24-8-1,"71""","40"""
Desmond Green,The Predator,28,155 lb ( 70 kg ),20-6-0,"73""","40"""
Max Griffin,Pain,32,170 lb ( 77 kg ),14-4-0,"76""","41"""
Chris Gruetzemacher,Gritz,31,155 lb ( 70 kg ),14-3-0,"68""","39"""
Wang Guan,The Dongbei Tiger,32,145 lb ( 65 kg ),20-1-1,"71""","42"""
Clay Guida,The Carpenter,36,145 lb ( 65 kg ),34-14-0,"70""","38"""
Marcelo Guimaraes,N/A,34,185 lb ( 84 kg ),9-2-1,N/A,N/A
Alexander Gustafsson,The Mauler,31,205 lb ( 93 kg ),18-4-0,"79""","46"""
Damir Hadzovic,N/A,31,155 lb ( 70 kg ),11-4-0,"70""","40"""
Ryan Hall,The Wizard,33,145 lb ( 65 kg ),6-1-0,"71""",N/A
Uriah Hall,Prime Time,33,185 lb ( 84 kg ),14-8-0,"79""","43"""
Anthony Hamilton,Freight Train,38,260 lb ( 118 kg ),15-9-0,"76""","45"""
CJ Hamilton,N/A,31,125 lb ( 56 kg ),11-5-0,"68""",N/A
Nasrat Haqparast,N/A,22,155 lb ( 70 kg ),8-2-0,"72""","41"""
Janay Harding,N/A,N/A,135 lb ( 61 kg ),3-2-0,N/A,N/A
Dan Hardy,The Outlaw,35,170 lb ( 77 kg ),"25-10-0, 1NC","72""",N/A
Walt Harris,The Big Ticket,34,250 lb ( 113 kg ),10-7-0,"77""","47"""
John Hathaway,The Hitman,30,170 lb ( 77 kg ),17-2-0,"75""",N/A
Phillip Hawes,Megatron ,29,185 lb ( 84 kg ),4-2-0,"70""",N/A
Nick Hein,Sergeant,33,155 lb ( 70 kg ),"14-2-0, 1NC","66""","39"""
Marcin Held,N/A,26,155 lb ( 70 kg ),23-7-0,"71""","39"""
Johny Hendricks,Bigg Rigg,34,185 lb ( 84 kg ),18-8-0,"69""","39"""
Luis Henrique,KLB,24,243 lb ( 110 kg ),"10-4-0, 1NC","74""",N/A
Danny Henry,The Hatchet,29,145 lb ( 65 kg ),11-2-0,"73""","40"""
Ed Herman,Short Fuse,37,205 lb ( 93 kg ),"24-13-0, 1NC","77""","42"""
Jack Hermansson,The Joker,29,185 lb ( 84 kg ),16-4-0,"77""","46"""
Alexander Hernandez,The Great,25,155 lb ( 70 kg ),9-1-0,"72""","39"""
Alvaro Herrera,Chango,27,170 lb ( 77 kg ),9-5-0,"74""","41"""
Felice Herrig,Lil Bulldog,33,115 lb ( 52 kg ),14-7-0,"65""","36"""
Jimy Hettes,The Kid,30,145 lb ( 65 kg ),11-3-0,"71""","40"""
Angela Hill,Overkill,33,115 lb ( 52 kg ),8-4-0,"64""","38"""
Mizuto Hirota,Pugnus,36,155 lb ( 70 kg ),19-9-2,"67""","40"""
Andrew Holbrook,N/A,32,155 lb ( 70 kg ),12-2-0,"70""","40"""
Chris  Holdsworth,Holds It Down,30,135 lb ( 61 kg ),7-0-0,"71""",N/A
Max Holloway,Blessed,26,145 lb ( 65 kg ),19-3-0,"69""","42"""
Holly Holm,The Preacher's Daughter,36,135 lb ( 61 kg ),11-4-0,"69""","38"""
Kurt Holobaugh,N/A,33,145 lb ( 65 kg ),17-4-0,"73""","40"""
Scott Holtzman,Hot Sauce,34,155 lb ( 70 kg ),11-2-0,"69""","39"""
Sabah Homasi,The Problem,29,170 lb ( 77 kg ),11-8-0,"72""","41"""
Barb Honchak,The Little Warrior,38,125 lb ( 56 kg ),10-4-0,N/A,N/A
Dan Hooker,The Hangman,28,155 lb ( 70 kg ),16-7-0,"75""","42"""
Darrell Horcher,The Saint,30,155 lb ( 70 kg ),13-3-0,"72""","38"""
Mark Hunt,Super Samoan,44,265 lb ( 120 kg ),"13-12-1, 1NC","72""","43"""
Al Iaquinta,Raging,30,155 lb ( 70 kg ),13-4-1,"70""","40"""
Dan Ige,Dynamite,26,145 lb ( 65 kg ),8-2-0,"71""","38"""
Naoki Inoue,N/A,20,125 lb ( 56 kg ),11-0-0,"71""","38"""
Teruto Ishihara,Yashabo,26,135 lb ( 61 kg ),11-5-2,"69""","37"""
Jason Jackson,Jah-Son,27,170 lb ( 77 kg ),7-3-0,"78""",N/A
Mike Jackson,The Truth,33,170 lb ( 77 kg ),0-1-0,N/A,N/A
Ryan Janes,N/A,36,185 lb ( 84 kg ),10-3-0,"76""","44"""
Rony Jason,N/A,34,145 lb ( 65 kg ),"15-7-0, 1NC","70""","40"""
Joanna Jedrzejczyk,N/A,30,115 lb ( 52 kg ),14-2-0,"65""","35"""
Chanmi Jeon,Ottogi Girl,20,115 lb ( 52 kg ),5-2-0,"67""","39"""
Li Jingliang,The Leech,30,170 lb ( 77 kg ),14-5-0,"71""","40"""
Brett Johns,The Pikey,26,135 lb ( 61 kg ),15-0-0,"71""","39"""
Demetrious Johnson,Mighty Mouse,31,125 lb ( 56 kg ),27-2-1,"66""","34"""
Jordan Johnson,N/A,29,205 lb ( 93 kg ),9-0-0,"79""","41"""
Kajan Johnson,Ragin',33,155 lb ( 70 kg ),22-12-1,"75""","43"""
Michael Johnson,The Menace,31,155 lb ( 70 kg ),18-12-0,"73""","41"""
Timothy Johnson,N/A,33,265 lb ( 120 kg ),12-4-0,"77""","42"""
Daniel Jolly,Werewolf of Texas,33,205 lb ( 93 kg ),5-3-0,"75""","43"""
Jamelle Jones,The Beast ,30,205 lb ( 93 kg ),7-5-0,"75""",N/A
Jon Jones,Bones,30,205 lb ( 93 kg ),23-1-0,"84""","45"""
Justin Jones,N/A,38,185 lb ( 84 kg ),9-2-0,N/A,N/A
Krzysztof Jotko,N/A,28,185 lb ( 84 kg ),19-5-0,"77""","41"""
Alan Jouban,Brahma,36,170 lb ( 77 kg ),16-6-0,"73""","41"""
Luke Jumeau,The Jedi,30,170 lb ( 77 kg ),13-4-0,"72""","40"""
Chan Sung Jung,The Korean Zombie,31,145 lb ( 65 kg ),14-4-0,"72""","38"""
Myles Jury,Fury,29,145 lb ( 65 kg ),17-2-0,"73""","42"""
Bharat Kandare,Daring,30,135 lb ( 61 kg ),5-3-0,"72""","40"""
Kyung Ho Kang,Mr. Perfect,30,135 lb ( 61 kg ),"13-7-0, 1NC","72""","39"""
Nadia Kassem,N/A,22,115 lb ( 52 kg ),5-0-0,"66""","38"""
Calvin Kattar,N/A,30,145 lb ( 65 kg ),18-3-0,"72""","40"""
Brian Kelleher,Boom,31,135 lb ( 61 kg ),19-8-0,"66""","38"""
